name,type,distance,moving_time,total_elevation_gain,start_date
Pink band society to Sausalito run,Run,7.4161591050341835,5552,174.8,2024-01-14T18:46:38Z
1st pink band society run of 2k24,Run,9.627408328154132,7423,126.2,2024-01-07T18:48:19Z
Afternoon Run,Run,3.163766314481044,1795,87.6,2023-12-28T21:57:03Z
Christmas Run! 🎅 🎅,Run,4.4183343691734,2757,115.8,2023-12-25T21:26:03Z
First run since HNL,Run,6.343318831572405,4246,95.6,2023-12-21T00:56:07Z
Honolulu Marathon🏝️,Run,26.515040397762583,16959,164.2,2023-12-10T15:13:11Z
1 week to race day run!,Run,7.600310752019888,4989,111.2,2023-12-03T19:27:13Z
Run to holiday houses then sushi pickup,Run,6.544313238036047,4408,200.8,2023-11-29T00:55:10Z
Lovers lane to bridge point to fort Mason ish run,Run,10.004847731510255,6927,218.2,2023-11-26T18:01:37Z
Lunch Run,Run,6.006152889993785,3763,89.0,2023-11-23T19:06:38Z
Afternoon Run,Run,6.066625233064015,3954,87.8,2023-11-22T01:56:10Z
Long run post 🎾 cheering x arsicault,Run,18.324922311995028,11948,236.8,2023-11-19T22:41:52Z
Pre-Jana's to Izu's pie party ocean beach all the way long run,Run,18.010689869484153,11858,222.0,2023-11-11T17:41:36Z
Evening Run,Run,8.008701056556868,4729,89.2,2023-11-10T02:48:12Z
Evening Run,Run,5.392914853946551,3048,88.8,2023-11-08T03:34:05Z
Longish run bc weekend busy,Run,14.029397141081416,9194,224.4,2023-11-03T20:39:08Z
"Post-coffee, pre-party",Run,8.005717837165943,4593,108.0,2023-11-01T02:02:44Z
RIP halloweekend long bridge run,Run,16.00938471100062,10798,375.2,2023-10-29T17:46:35Z
Pink band society to Sausalito run,Run,7.4161591050341835,5552,174.8,2024-01-14T18:46:38Z
1st pink band society run of 2k24,Run,9.627408328154132,7423,126.2,2024-01-07T18:48:19Z
Afternoon Run,Run,3.163766314481044,1795,87.6,2023-12-28T21:57:03Z
Christmas Run! 🎅 🎅,Run,4.4183343691734,2757,115.8,2023-12-25T21:26:03Z
First run since HNL,Run,6.343318831572405,4246,95.6,2023-12-21T00:56:07Z
Honolulu Marathon🏝️,Run,26.515040397762583,16959,164.2,2023-12-10T15:13:11Z
1 week to race day run!,Run,7.600310752019888,4989,111.2,2023-12-03T19:27:13Z
Run to holiday houses then sushi pickup,Run,6.544313238036047,4408,200.8,2023-11-29T00:55:10Z
Lovers lane to bridge point to fort Mason ish run,Run,10.004847731510255,6927,218.2,2023-11-26T18:01:37Z
Lunch Run,Run,6.006152889993785,3763,89.0,2023-11-23T19:06:38Z
Afternoon Run,Run,6.066625233064015,3954,87.8,2023-11-22T01:56:10Z
Long run post 🎾 cheering x arsicault,Run,18.324922311995028,11948,236.8,2023-11-19T22:41:52Z
Pre-Jana's to Izu's pie party ocean beach all the way long run,Run,18.010689869484153,11858,222.0,2023-11-11T17:41:36Z
Evening Run,Run,8.008701056556868,4729,89.2,2023-11-10T02:48:12Z
Evening Run,Run,5.392914853946551,3048,88.8,2023-11-08T03:34:05Z
Longish run bc weekend busy,Run,14.029397141081416,9194,224.4,2023-11-03T20:39:08Z
"Post-coffee, pre-party",Run,8.005717837165943,4593,108.0,2023-11-01T02:02:44Z
RIP halloweekend long bridge run,Run,16.00938471100062,10798,375.2,2023-10-29T17:46:35Z
post-taiwanese food 10-mile run,Run,10.007706650093226,6902,179.4,2023-10-22T20:04:32Z
diptyque to musubi to library run,Run,2.0643878185208204,1657,102.8,2023-10-20T21:30:15Z
Afternoon Run,Run,6.008390304536979,3897,87.4,2023-10-19T00:50:23Z
Lost tiebreaker so run home,Run,1.2270354257302671,974,92.8,2023-10-17T03:02:53Z
Run to decorated house pre-bar,Run,6.665755127408328,4557,206.8,2023-10-15T00:51:32Z
Great highway run,Run,16.00764449968925,10186,229.4,2023-10-13T20:54:56Z
Evening Run,Run,3.639154754505904,2386,93.2,2023-10-12T01:15:23Z
Post-mindsDB run,Run,8.20211311373524,5426,200.4,2023-10-07T01:28:54Z
Post-leg day x post-summit run rip,Run,7.007022995649471,4669,95.4,2023-10-05T23:16:45Z
Didn’t wake up in time for long run,Run,5.6427594779366075,3642,109.4,2023-09-30T17:53:58Z
Run off after bailing moe bc this week was the worst,Run,8.335736482287135,4948,107.8,2023-09-29T00:43:08Z
Slow beach ish run,Run,8.271845866998135,5472,134.2,2023-09-25T19:52:43Z
Long run day ocean beach,Run,16.407333747669362,10832,283.2,2023-09-23T21:02:02Z
Post-3 martinis beach ish run,Run,6.279366065879429,3832,82.6,2023-09-22T03:08:20Z
Pre-Ray summit run,Run,5.584151646985705,3540,96.8,2023-09-18T16:10:20Z
Marina jog pre-Agi house,Run,4.803729024238657,3323,118.8,2023-09-16T16:35:29Z
Morning Run,Run,3.4861404599129893,2502,115.4,2023-09-14T17:10:50Z
Jet lag ish run,Run,6.033871970167806,3983,116.8,2023-09-12T15:48:24Z
I am never running to Coney Island again jog,Run,11.50397762585457,8354,95.8,2023-09-03T14:39:47Z
Evening Run,Run,10.04425108763207,6531,263.4,2023-08-29T01:18:46Z
Long run to rush tix,Run,10.397265382224985,6403,150.4,2023-08-18T22:09:34Z
Contemplating sectionals long run,Run,11.007644499689247,7645,365.8,2023-08-15T00:41:09Z
Evening Run pickup food ,Run,3.761155997513984,2372,126.6,2023-08-08T02:13:35Z
